	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
hek_unique:TSS50_-_944640.23-CUFF.5.1	5734	5399	0	0
hek_unique:TSS51009_+_75226331.23-CUFF.25375.1	7623	8252	1154	13576
hek_unique:TSS51009_+_75226341.23-CUFF.25375.1	7927	7097	1098	9169
hek_unique:TSS51009_+_75226351.23-CUFF.25375.1	6275	6342	907	11739
hek_unique:TSS51009_+_75226392.23-CUFF.25375.1	5262	5598	486	8761
hek_unique:TSS51009_+_75226612.23-CUFF.25375.1	5614	5697	726	9564
hek_unique:TSS51009_+_75226806.23-CUFF.25375.1	3790	3504	591	4211
hek_unique:TSS51009_-_75226419.23-CUFF.25375.1	3922	4532	472	6621
hek_unique:TSS51009_-_75226435.23-CUFF.25375.1	7817	7305	1384	10264
hek_unique:TSS51009_-_75226608.23-CUFF.25375.1	3466	3612	669	6034
hek_unique:TSS51009_-_75226715.23-CUFF.25375.1	6036	6671	890	8982
hek_unique:TSS51032_+_75937960.23-CUFF.25395.2	7205	7853	1066	12103
hek_unique:TSS51032_+_75938004.23-CUFF.25395.2	6412	6585	958	10580
hek_unique:TSS51032_+_75938013.23-CUFF.25395.2	5157	4958	600	10075
hek_unique:TSS51032_+_75938043.23-CUFF.25395.2	2206	2420	297	4072
hek_unique:TSS51032_+_75938047.23-CUFF.25395.2	2321	2385	313	2551
hek_unique:TSS51032_+_75938066.23-CUFF.25395.2	4212	4146	613	6196
hek_unique:TSS51032_+_75938149.23-CUFF.25395.2	10980	11050	1557	17272
hek_unique:TSS51032_+_75938252.23-CUFF.25395.2	7982	6975	1039	12811
hek_unique:TSS51032_-_75937988.23-CUFF.25395.2	5512	6121	697	10134
hek_unique:TSS51032_-_75938055.23-CUFF.25395.2	6396	6322	972	10022
hek_unique:TSS51194_+_88744336.23-CUFF.25593.1	2811	2339	0	0
hek_unique:TSS51194_+_88744348.23-CUFF.25593.1	3290	3308	0	0
hek_unique:TSS51194_+_88744425.23-CUFF.25593.1	2445	2672	0	0
hek_unique:TSS51194_+_88744775.23-CUFF.25593.1	8981	8283	0	0
hek_unique:TSS51194_-_88744405.23-CUFF.25593.1	5496	6455	0	0
hek_unique:TSS51194_-_88744551.23-CUFF.25593.1	4661	4920	0	0
hek_unique:TSS51194_-_88744567.23-CUFF.25593.1	3596	3173	0	0
hek_unique:TSS51194_-_88744700.23-CUFF.25593.1	5739	6780	0	0
hek_unique:TSS51194_-_88744718.23-CUFF.25593.1	4603	4609	0	0
hek_unique:TSS51194_-_88744807.23-CUFF.25593.1	1245	1085	0	0
hek_unique:TSS51245_+_95880151.23-ENST00000444043	4782	3912	669	5984
hek_unique:TSS51245_+_95880467.23-ENST00000444043	7647	7485	1050	12191
hek_unique:TSS51245_-_95880087.23-ENST00000444043	4955	5196	660	7170
hek_unique:TSS51245_-_95880127.23-ENST00000444043	3699	3939	376	5113
hek_unique:TSS51245_-_95880156.23-ENST00000444043	4772	3737	822	6312
hek_unique:TSS51245_-_95880202.23-ENST00000444043	3683	4210	484	6600
hek_unique:TSS51245_-_95880253.23-ENST00000444043	4591	4229	714	6585
hek_unique:TSS51245_-_95880277.23-ENST00000444043	4785	4330	819	8332
hek_unique:TSS51245_-_95880324.23-ENST00000444043	6142	5463	878	8864
hek_unique:TSS51245_-_95880444.23-ENST00000444043	6832	6718	957	11918
hek_unique:TSS51419_+_103501919.23-CUFF.25832.1	4942	4674	701	8180
hek_unique:TSS51419_+_103502006.23-CUFF.25832.1	4894	4938	646	8801
hek_unique:TSS51419_+_103502031.23-CUFF.25832.1	6083	6490	765	9519
hek_unique:TSS51419_+_103502042.23-CUFF.25832.1	6501	6615	846	10333
hek_unique:TSS51419_+_103502182.23-CUFF.25832.1	5525	5290	925	8497
hek_unique:TSS51419_-_103501964.23-CUFF.25832.1	10366	9429	1944	17367
hek_unique:TSS51419_-_103501981.23-CUFF.25832.1	7015	6888	1140	11167
hek_unique:TSS51419_-_103501987.23-CUFF.25832.1	4245	5009	509	7521
hek_unique:TSS51419_-_103502035.23-CUFF.25832.1	6751	6284	1103	11852
hek_unique:TSS51419_-_103502106.23-CUFF.25832.1	3504	3821	527	7214
hek_unique:TSS51463_+_105320501.23-P1P2	7385	6900	1207	14191
hek_unique:TSS51463_+_105320521.23-P1P2	10527	9874	1393	18772
hek_unique:TSS51463_-_105320225.23-P1P2	7624	6885	1398	11712
hek_unique:TSS51463_-_105320232.23-P1P2	3894	3787	784	6330
hek_unique:TSS51463_-_105320265.23-P1P2	8206	7301	1160	10766
hek_unique:TSS51463_-_105320298.23-P1P2	2001	2165	257	3702
hek_unique:TSS51463_-_105320436.23-P1P2	4710	4818	547	9506
hek_unique:TSS51463_-_105320462.23-P1P2	6830	6998	1056	9372
hek_unique:TSS51463_-_105320489.23-P1P2	6573	6414	814	8652
hek_unique:TSS51463_-_105320493.23-P1P2	4109	4271	583	7405
hek_unique:TSS51464_+_105469764.23-ENST00000598623	4438	5698	761	8524
hek_unique:TSS51464_+_105469810.23-ENST00000598623	6835	6540	900	14263
hek_unique:TSS51464_-_105469752.23-ENST00000598623	3847	3898	703	7278
hek_unique:TSS51464_-_105469781.23-ENST00000598623	5117	4645	610	6930
hek_unique:TSS51464_-_105469799.23-ENST00000598623	4152	4785	723	7529
hek_unique:TSS51464_-_105469969.23-ENST00000598623	3844	3669	452	5176
hek_unique:TSS51464_-_105469984.23-ENST00000598623	4839	4792	795	7938
hek_unique:TSS51464_-_105470027.23-ENST00000598623	5770	5232	833	7357
hek_unique:TSS51464_-_105470122.23-ENST00000598623	5387	4985	798	8032
hek_unique:TSS51464_-_105470126.23-ENST00000598623	5262	4385	881	5725
hek_unique:TSS51473_+_105760326.23-P1P2	5644	6050	813	10520
hek_unique:TSS51473_+_105760513.23-P1P2	2368	2149	481	6621
hek_unique:TSS51473_+_105760541.23-P1P2	6230	6915	858	11760
hek_unique:TSS51473_+_105760577.23-P1P2	5512	5034	711	12921
hek_unique:TSS51473_+_105760583.23-P1P2	5686	5831	658	8312
hek_unique:TSS51473_+_105760731.23-P1P2	6545	6029	1024	9448
hek_unique:TSS51473_-_105760644.23-P1P2	4904	4019	674	6693
hek_unique:TSS51473_-_105760758.23-P1P2	1990	2461	457	3204
hek_unique:TSS51473_-_105760761.23-P1P2	4621	4516	510	7459
hek_unique:TSS51473_-_105760965.23-P1P2	4635	4331	613	5435
hek_unique:TSS51493_+_106707450.23-CUFF.25890.2	7214	6959	1084	10480
hek_unique:TSS51493_+_106707711.23-CUFF.25890.2	7554	7843	1273	14156
hek_unique:TSS51493_-_106707455.23-CUFF.25890.2	5743	5124	820	11655
hek_unique:TSS51493_-_106707465.23-CUFF.25890.2	1797	1908	216	2993
hek_unique:TSS51493_-_106707476.23-CUFF.25890.2	6153	5895	979	9305
hek_unique:TSS51493_-_106707503.23-CUFF.25890.2	5269	4490	628	7825
hek_unique:TSS51493_-_106707514.23-CUFF.25890.2	3880	3696	521	6695
hek_unique:TSS51493_-_106707577.23-CUFF.25890.2	6753	6417	1056	10476
hek_unique:TSS51493_-_106707729.23-CUFF.25890.2	4674	4580	580	5908
hek_unique:TSS51493_-_106707908.23-CUFF.25890.2	8001	8795	1157	14670
hek_unique:TSS51575_-_110744273.23-CUFF.25973.3,CUFF.25973.6	3952	3298	607	6602
hek_unique:TSS51575_-_110744276.23-CUFF.25973.3,CUFF.25973.6	5304	5835	804	9614
hek_unique:TSS51575_-_110744281.23-CUFF.25973.3,CUFF.25973.6	5355	5098	886	8805
hek_unique:TSS51575_-_110744288.23-CUFF.25973.3,CUFF.25973.6	5960	5592	1001	11076
hek_unique:TSS51575_-_110744291.23-CUFF.25973.3,CUFF.25973.6	6138	6760	842	16701
hek_unique:TSS51575_-_110744298.23-CUFF.25973.3,CUFF.25973.6	9297	9244	1158	14231
hek_unique:TSS51575_-_110744321.23-CUFF.25973.3,CUFF.25973.6	6504	6388	824	9446
hek_unique:TSS51575_-_110744413.23-CUFF.25973.3,CUFF.25973.6	8414	8872	1364	14995
hek_unique:TSS51575_-_110744440.23-CUFF.25973.3,CUFF.25973.6	5333	5513	964	9793
hek_unique:TSS51575_-_110744487.23-CUFF.25973.3,CUFF.25973.6	8880	9031	1541	15781
hek_unique:TSS51576_+_110744690.23-P1P2	3771	3718	533	6145
hek_unique:TSS51576_+_110744870.23-P1P2	5099	5301	840	9829
hek_unique:TSS51576_+_110744994.23-P1P2	6342	5915	1111	6772
hek_unique:TSS51576_-_110744637.23-P1P2	6505	7066	678	9362
hek_unique:TSS51576_-_110744656.23-P1P2	3477	3296	658	5716
hek_unique:TSS51576_-_110744671.23-P1P2	7937	7972	1209	15019
hek_unique:TSS51576_-_110744679.23-P1P2	5761	5668	920	8962
hek_unique:TSS51576_-_110744684.23-P1P2	6821	5611	884	10055
hek_unique:TSS51576_-_110744700.23-P1P2	6173	7079	812	10403
hek_unique:TSS51576_-_110744866.23-P1P2	6548	6492	801	11033
hek_unique:TSS51673_+_114261165.23-CUFF.26046.2	4335	4801	465	7883
hek_unique:TSS51673_+_114261262.23-CUFF.26046.2	2200	2943	203	4523
hek_unique:TSS51673_+_114261290.23-CUFF.26046.2	5082	4520	745	10188
hek_unique:TSS51673_+_114261370.23-CUFF.26046.2	3220	3201	333	6160
hek_unique:TSS51673_+_114261373.23-CUFF.26046.2	2396	2684	346	3862
hek_unique:TSS51673_-_114261217.23-CUFF.26046.2	3365	3963	414	5619
hek_unique:TSS51673_-_114261306.23-CUFF.26046.2	7277	6821	1184	12151
hek_unique:TSS51673_-_114261317.23-CUFF.26046.2	3766	4022	504	5403
hek_unique:TSS51673_-_114261386.23-CUFF.26046.2	4087	3863	629	8758
hek_unique:TSS51673_-_114261564.23-CUFF.26046.2	3539	3177	403	4027
hek_unique:TSS51683_+_114448685.23-CUFF.26055.5	5110	4607	716	8814
hek_unique:TSS51683_+_114448721.23-CUFF.26055.5	6479	6406	620	9820
hek_unique:TSS51683_+_114448769.23-CUFF.26055.5	3356	3554	385	4360
hek_unique:TSS51683_+_114448851.23-CUFF.26055.5	3909	4703	559	9023
hek_unique:TSS51683_+_114448889.23-CUFF.26055.5	3032	3380	641	5494
hek_unique:TSS51683_+_114449011.23-CUFF.26055.5	3091	2760	693	3158
hek_unique:TSS51683_+_114449031.23-CUFF.26055.5	2690	2364	433	2946
hek_unique:TSS51683_+_114449061.23-CUFF.26055.5	6980	7792	833	8919
hek_unique:TSS51683_+_114449140.23-CUFF.26055.5	7011	6188	951	9909
hek_unique:TSS51683_-_114448808.23-CUFF.26055.5	4467	4509	702	6545
hek_unique:TSS51737_+_118593936.23-P1P2	4577	4241	444	7451
hek_unique:TSS51737_+_118594126.23-P1P2	3306	3333	566	4823
hek_unique:TSS51737_+_118594178.23-P1P2	7381	7056	1190	12384
hek_unique:TSS51737_+_118594203.23-P1P2	7301	8332	943	13716
hek_unique:TSS51737_+_118594212.23-P1P2	6571	6569	878	12216
hek_unique:TSS51737_-_118593744.23-P1P2	4428	4339	747	6255
hek_unique:TSS51737_-_118593753.23-P1P2	5183	5939	982	11033
hek_unique:TSS51737_-_118593788.23-P1P2	8904	7793	1158	14116
hek_unique:TSS51737_-_118593832.23-P1P2	7276	7816	781	12313
hek_unique:TSS51737_-_118594140.23-P1P2	6456	6153	957	9808
hek_unique:TSS51836_+_122407511.23-P1P2	2319	1988	0	0
hek_unique:TSS51836_+_122407605.23-P1P2	6360	6100	0	0
hek_unique:TSS51836_+_122407743.23-P1P2	12151	11405	0	0
hek_unique:TSS51836_-_122407367.23-P1P2	6666	5615	0	0
hek_unique:TSS51836_-_122407398.23-P1P2	5178	4644	0	0
hek_unique:TSS51836_-_122407406.23-P1P2	1350	1835	0	0
hek_unique:TSS51836_-_122407416.23-P1P2	7339	7434	0	0
hek_unique:TSS51836_-_122407456.23-P1P2	4547	4610	0	0
hek_unique:TSS51836_-_122407581.23-P1P2	4977	4693	0	0
hek_unique:TSS51836_-_122407596.23-P1P2	5468	5458	0	0
hek_unique:TSS51892_+_127065749.23-CUFF.26308.5	3628	3297	378	4159
hek_unique:TSS51892_+_127065766.23-CUFF.26308.5	6836	6355	971	8661
hek_unique:TSS51892_+_127065832.23-CUFF.26308.5	5555	5831	636	9587
hek_unique:TSS51892_+_127065835.23-CUFF.26308.5	4490	4942	485	9158
hek_unique:TSS51892_+_127065838.23-CUFF.26308.5	8334	7954	845	10283
hek_unique:TSS51892_-_127065663.23-CUFF.26308.5	3782	3707	491	7979
hek_unique:TSS51892_-_127065871.23-CUFF.26308.5	6645	7180	812	13005
hek_unique:TSS51892_-_127065933.23-CUFF.26308.5	5444	5501	659	9871
hek_unique:TSS51892_-_127065944.23-CUFF.26308.5	4965	5671	634	7886
hek_unique:TSS51892_-_127065982.23-CUFF.26308.5	5054	4305	617	8008
hek_unique:TSS51893_+_127066077.23-P1P2	8002	7209	1355	11172
hek_unique:TSS51893_+_127066108.23-P1P2	4849	5010	725	9019
hek_unique:TSS51893_+_127066123.23-P1P2	7452	7322	915	13682
hek_unique:TSS51893_+_127066132.23-P1P2	3418	3970	701	6190
hek_unique:TSS51893_+_127066507.23-P1P2	5818	5515	925	8340
hek_unique:TSS51893_-_127066092.23-P1P2	7130	8188	1461	14568
hek_unique:TSS51893_-_127066106.23-P1P2	3200	3494	451	5206
hek_unique:TSS51893_-_127066245.23-P1P2	5417	5473	544	9261
hek_unique:TSS51893_-_127066495.23-P1P2	5769	6125	681	12777
hek_unique:TSS51893_-_127066522.23-P1P2	6184	6532	847	11880
hek_unique:TSS51894_+_127069474.23-CUFF.26308.7	5286	4794	530	10553
hek_unique:TSS51894_+_127069516.23-CUFF.26308.7	4297	4085	615	6343
hek_unique:TSS51894_+_127069520.23-CUFF.26308.7	6917	6440	1111	11859
hek_unique:TSS51894_+_127069526.23-CUFF.26308.7	5452	4934	685	8080
hek_unique:TSS51894_+_127069589.23-CUFF.26308.7	3703	3696	499	6201
hek_unique:TSS51894_+_127069592.23-CUFF.26308.7	6578	6424	948	11553
hek_unique:TSS51894_-_127069492.23-CUFF.26308.7	10339	11582	1557	17069
hek_unique:TSS51894_-_127069609.23-CUFF.26308.7	4309	5104	688	8463
hek_unique:TSS51894_-_127069682.23-CUFF.26308.7	9448	8760	1425	14799
hek_unique:TSS51894_-_127069928.23-CUFF.26308.7	5755	6095	886	9242
hek_unique:TSS51895_+_127070104.23-ENST00000419223	5647	5188	690	7211
hek_unique:TSS51895_+_127070169.23-ENST00000419223	2179	2309	464	3849
hek_unique:TSS51895_+_127070197.23-ENST00000419223	5159	4852	730	7078
hek_unique:TSS51895_+_127070314.23-ENST00000419223	4277	4237	704	5917
hek_unique:TSS51895_+_127070319.23-ENST00000419223	4582	4146	658	5265
hek_unique:TSS51895_+_127070363.23-ENST00000419223	6420	5909	805	9503
hek_unique:TSS51895_+_127070400.23-ENST00000419223	3539	4259	522	7677
hek_unique:TSS51895_-_127070034.23-ENST00000419223	8515	7575	1265	9897
hek_unique:TSS51895_-_127070046.23-ENST00000419223	7166	7250	1077	11883
hek_unique:TSS51895_-_127070429.23-ENST00000419223	4016	5003	614	7622
hek_unique:TSS51922_+_128051749.23-CUFF.26277.1	6264	6261	0	0
hek_unique:TSS51922_+_128051816.23-CUFF.26277.1	4927	5192	0	0
hek_unique:TSS51922_+_128051823.23-CUFF.26277.1	6562	6308	0	0
hek_unique:TSS51922_+_128051826.23-CUFF.26277.1	6232	5822	0	0
hek_unique:TSS51922_-_128051796.23-CUFF.26277.1	3824	4023	0	0
hek_unique:TSS51922_-_128051799.23-CUFF.26277.1	2925	3200	0	0
hek_unique:TSS51922_-_128051803.23-CUFF.26277.1	4003	3458	0	0
hek_unique:TSS51922_-_128051854.23-CUFF.26277.1	1879	1467	0	0
hek_unique:TSS51922_-_128051859.23-CUFF.26277.1	3586	4254	0	0
hek_unique:TSS51922_-_128052037.23-CUFF.26277.1	5501	5405	0	0
hek_unique:TSS51939_+_128644092.23-P1P2	3920	3668	502	7108
hek_unique:TSS51939_+_128644385.23-P1P2	8369	8426	1326	14526
hek_unique:TSS51939_+_128644439.23-P1P2	4591	3960	922	5584
hek_unique:TSS51939_+_128644465.23-P1P2	5757	5306	1010	7654
hek_unique:TSS51939_-_128644108.23-P1P2	5262	4897	734	6945
hek_unique:TSS51939_-_128644425.23-P1P2	4225	4038	622	6176
hek_unique:TSS51939_-_128644434.23-P1P2	4220	3786	490	4714
hek_unique:TSS51939_-_128644502.23-P1P2	2613	3169	444	4432
hek_unique:TSS51939_-_128644548.23-P1P2	2172	2020	321	3960
hek_unique:TSS51939_-_128644551.23-P1P2	3746	2959	403	3199
hek_unique:TSS51940_+_128644092.23-P1P2	3920	3668	502	7108
hek_unique:TSS51940_+_128644385.23-P1P2	8369	8426	1326	14526
hek_unique:TSS51940_+_128644439.23-P1P2	4591	3960	922	5584
hek_unique:TSS51940_+_128644465.23-P1P2	5757	5306	1010	7654
hek_unique:TSS51940_-_128644108.23-P1P2	5262	4897	734	6945
hek_unique:TSS51940_-_128644425.23-P1P2	4225	4038	622	6176
hek_unique:TSS51940_-_128644434.23-P1P2	4220	3786	490	4714
hek_unique:TSS51940_-_128644502.23-P1P2	2613	3169	444	4432
hek_unique:TSS51940_-_128644548.23-P1P2	2172	2020	321	3960
hek_unique:TSS51940_-_128644551.23-P1P2	3746	2959	403	3199
hek_unique:TSS5204_+_16174234.23-CUFF.461.1	8684	9022	844	9264
hek_unique:TSS5204_+_16174601.23-CUFF.461.1	1826	2409	197	4759
hek_unique:TSS5204_-_16174216.23-CUFF.461.1	3425	3592	358	5581
hek_unique:TSS5204_-_16174391.23-CUFF.461.1	9490	9313	1093	9704
hek_unique:TSS5204_-_16174415.23-CUFF.461.1	6284	6393	765	9337
hek_unique:TSS5204_-_16174526.23-CUFF.461.1	5401	5997	658	7429
hek_unique:TSS5204_-_16174565.23-CUFF.461.1	2433	1919	473	3225
hek_unique:TSS5204_-_16174579.23-CUFF.461.1	8187	8430	1044	9925
hek_unique:TSS5204_-_16174588.23-CUFF.461.1	3007	2919	399	4387
hek_unique:TSS5204_-_16174616.23-CUFF.461.1	5527	5506	793	7974
hek_unique:TSS5215_+_16960559.23-ENST00000412962	6239	6137	1044	13328
hek_unique:TSS5215_+_16960796.23-ENST00000412962	4476	3824	619	6587
hek_unique:TSS5215_-_16960585.23-ENST00000412962	4639	4194	537	7766
hek_unique:TSS5215_-_16960619.23-ENST00000412962	6607	7005	1127	10891
hek_unique:TSS5215_-_16960669.23-ENST00000412962	3782	3468	730	6906
hek_unique:TSS5215_-_16960745.23-ENST00000412962	8059	7785	1011	11938
hek_unique:TSS5215_-_16960762.23-ENST00000412962	6929	6568	1080	9637
hek_unique:TSS5215_-_16960814.23-ENST00000412962	5273	4812	893	7980
hek_unique:TSS5215_-_16960951.23-ENST00000412962	2814	2729	427	5064
hek_unique:TSS5215_-_16960980.23-ENST00000412962	4170	4251	571	6739
hek_unique:TSS5216_+_16961224.23-CUFF.605.10,CUFF.605.9	9639	10668	1371	15513
hek_unique:TSS5216_+_16961455.23-CUFF.605.10,CUFF.605.9	7808	7937	1360	15934
hek_unique:TSS5216_-_16961311.23-CUFF.605.10,CUFF.605.9	1894	2106	201	3368
hek_unique:TSS5216_-_16961319.23-CUFF.605.10,CUFF.605.9	4147	3824	539	7010
hek_unique:TSS5216_-_16961322.23-CUFF.605.10,CUFF.605.9	4354	4158	626	6112
hek_unique:TSS5216_-_16961411.23-CUFF.605.10,CUFF.605.9	5016	5477	566	6657
hek_unique:TSS5216_-_16961422.23-CUFF.605.10,CUFF.605.9	6727	7568	1072	15738
hek_unique:TSS5216_-_16961429.23-CUFF.605.10,CUFF.605.9	4537	3771	543	6818
hek_unique:TSS5216_-_16961437.23-CUFF.605.10,CUFF.605.9	4149	4869	312	12614
hek_unique:TSS5216_-_16961602.23-CUFF.605.10,CUFF.605.9	7958	8154	1484	12694
hek_unique:TSS5227_+_17197461.23-CUFF.524.1	6834	7243	1191	10308
hek_unique:TSS5227_+_17197481.23-CUFF.524.1	3077	3288	338	7160
hek_unique:TSS5227_+_17197484.23-CUFF.524.1	4602	3858	730	6354
hek_unique:TSS5227_+_17197529.23-CUFF.524.1	1482	1392	277	2726
hek_unique:TSS5227_+_17197532.23-CUFF.524.1	3757	4443	706	8050
hek_unique:TSS5227_-_17197296.23-CUFF.524.1	10283	10735	1953	19022
hek_unique:TSS5227_-_17197466.23-CUFF.524.1	4457	4631	780	6845
hek_unique:TSS5227_-_17197470.23-CUFF.524.1	4038	4079	692	8662
hek_unique:TSS5227_-_17197476.23-CUFF.524.1	3435	2454	435	3714
hek_unique:TSS5227_-_17197490.23-CUFF.524.1	7826	7583	1190	12831
hek_unique:TSS5230_+_17221085.23-CUFF.526.1	2423	2759	0	0
hek_unique:TSS5230_+_17221300.23-CUFF.526.1	6272	6143	0	0
hek_unique:TSS5230_+_17221318.23-CUFF.526.1	8580	9130	0	0
hek_unique:TSS5230_+_17221329.23-CUFF.526.1	5180	4543	0	0
hek_unique:TSS5230_+_17221337.23-CUFF.526.1	2555	2674	0	0
hek_unique:TSS5230_+_17221343.23-CUFF.526.1	1086	1252	0	0
hek_unique:TSS5230_-_17220946.23-CUFF.526.1	4904	4906	0	0
hek_unique:TSS5230_-_17221111.23-CUFF.526.1	5194	4904	0	0
hek_unique:TSS5230_-_17221326.23-CUFF.526.1	8606	9210	0	0
hek_unique:TSS5230_-_17221363.23-CUFF.526.1	3306	3619	0	0
hek_unique:TSS52318_+_152643796.23-CUFF.26686.1	6388	7266	789	12761
hek_unique:TSS52318_+_152643799.23-CUFF.26686.1	7362	8117	1121	12726
hek_unique:TSS52318_+_152643844.23-CUFF.26686.1	4674	4476	697	5259
hek_unique:TSS52318_+_152643858.23-CUFF.26686.1	4469	5463	546	9621
hek_unique:TSS52318_+_152644063.23-CUFF.26686.1	2917	2542	397	4449
hek_unique:TSS52318_+_152644092.23-CUFF.26686.1	5899	5730	1027	8340
hek_unique:TSS52318_+_152644108.23-CUFF.26686.1	3700	4464	628	6511
hek_unique:TSS52318_-_152644045.23-CUFF.26686.1	4760	5001	845	5678
hek_unique:TSS52318_-_152644080.23-CUFF.26686.1	1518	1757	351	2603
hek_unique:TSS52318_-_152644099.23-CUFF.26686.1	5448	5807	716	8098
hek_unique:TSS5231_+_17221702.23-CUFF.527.1	1586	1450	0	0
hek_unique:TSS5231_+_17221708.23-CUFF.527.1	3740	4212	0	0
hek_unique:TSS5231_+_17221724.23-CUFF.527.1	4917	4729	0	0
hek_unique:TSS5231_+_17221922.23-CUFF.527.1	6806	6934	0	0
hek_unique:TSS5231_-_17221742.23-CUFF.527.1	2266	1912	0	0
hek_unique:TSS5231_-_17221772.23-CUFF.527.1	4601	4451	0	0
hek_unique:TSS5231_-_17221918.23-CUFF.527.1	339	380	0	0
hek_unique:TSS5231_-_17221935.23-CUFF.527.1	2777	3038	0	0
hek_unique:TSS5231_-_17222163.23-CUFF.527.1	4637	4976	0	0
hek_unique:TSS5231_-_17222192.23-CUFF.527.1	7112	5879	0	0
hek_unique:TSS52445_+_162101242.23-P1P2	4960	4770	0	0
hek_unique:TSS52445_+_162101247.23-P1P2	8355	7563	0	0
hek_unique:TSS52445_+_162101255.23-P1P2	6217	5458	0	0
hek_unique:TSS52445_+_162101454.23-P1P2	4185	4396	0	0
hek_unique:TSS52445_+_162101494.23-P1P2	5847	6027	0	0
hek_unique:TSS52445_+_162101507.23-P1P2	4974	4193	0	0
hek_unique:TSS52445_-_162101443.23-P1P2	3242	4020	0	0
hek_unique:TSS52445_-_162101452.23-P1P2	3151	3427	0	0
hek_unique:TSS52445_-_162101510.23-P1P2	6294	5919	0	0
hek_unique:TSS52445_-_162101556.23-P1P2	4717	5055	0	0
hek_unique:TSS52479_+_163978144.23-CUFF.26854.1	7144	7115	975	10273
hek_unique:TSS52479_+_163978171.23-CUFF.26854.1	3289	3245	472	5102
hek_unique:TSS52479_+_163978179.23-CUFF.26854.1	5712	5451	737	9307
hek_unique:TSS52479_+_163978362.23-CUFF.26854.1	3387	3295	528	4611
hek_unique:TSS52479_+_163978380.23-CUFF.26854.1	5568	6104	926	11365
hek_unique:TSS52479_+_163978387.23-CUFF.26854.1	3239	2863	584	5928
hek_unique:TSS52479_+_163978409.23-CUFF.26854.1	3153	2944	486	6295
hek_unique:TSS52479_-_163978189.23-CUFF.26854.1	8989	9982	1288	15511
hek_unique:TSS52479_-_163978205.23-CUFF.26854.1	10168	10404	1360	17079
hek_unique:TSS52479_-_163978441.23-CUFF.26854.1	5449	7286	1049	15322
hek_unique:TSS52531_+_168149534.23-P1P2	5914	6037	761	11188
hek_unique:TSS52531_+_168149556.23-P1P2	7918	7507	1155	12369
hek_unique:TSS52531_+_168149559.23-P1P2	6758	6850	1119	11155
hek_unique:TSS52531_+_168149735.23-P1P2	5580	5572	969	9691
hek_unique:TSS52531_-_168149525.23-P1P2	8025	8587	1080	18066
hek_unique:TSS52531_-_168149552.23-P1P2	4805	5147	771	6882
hek_unique:TSS52531_-_168149586.23-P1P2	3663	3635	543	5078
hek_unique:TSS52531_-_168149600.23-P1P2	7263	7291	1154	13223
hek_unique:TSS52531_-_168149747.23-P1P2	4239	4068	559	7670
hek_unique:TSS52531_-_168149859.23-P1P2	4762	4382	503	6225
hek_unique:TSS52552_+_172017613.23-CUFF.26912.1	5087	4520	0	0
hek_unique:TSS52552_+_172017618.23-CUFF.26912.1	3268	3012	0	0
hek_unique:TSS52552_+_172017645.23-CUFF.26912.1	5126	4861	0	0
hek_unique:TSS52552_+_172017655.23-CUFF.26912.1	4284	4852	0	0
hek_unique:TSS52552_+_172017752.23-CUFF.26912.1	4178	3962	0	0
hek_unique:TSS52552_+_172017833.23-CUFF.26912.1	8152	7749	0	0
hek_unique:TSS52552_+_172017937.23-CUFF.26912.1	7919	7179	0	0
hek_unique:TSS52552_-_172017624.23-CUFF.26912.1	2445	2662	0	0
hek_unique:TSS52552_-_172017673.23-CUFF.26912.1	7506	8043	0	0
hek_unique:TSS52552_-_172017805.23-CUFF.26912.1	2010	2303	0	0
hek_unique:TSS52565_+_172967324.23-P2	9963	9852	1000	11200
hek_unique:TSS52565_+_172967353.23-P2	9403	9172	1412	13117
hek_unique:TSS52565_+_172967414.23-P2	4064	4220	445	6086
hek_unique:TSS52565_+_172967420.23-P2	4340	4707	790	6841
hek_unique:TSS52565_+_172967459.23-P2	8321	7910	1186	10912
hek_unique:TSS52565_+_172967482.23-P2	8528	8930	1124	15317
hek_unique:TSS52565_+_172967798.23-P1	7305	7036	1368	11188
hek_unique:TSS52565_+_172967820.23-P1	4355	4726	870	8541
hek_unique:TSS52565_+_172967939.23-P1	2442	2524	304	3553
hek_unique:TSS52565_+_172967963.23-P1	9918	10643	1287	19098
hek_unique:TSS52565_-_172967370.23-P2	7111	7971	931	11480
hek_unique:TSS52565_-_172967379.23-P2	2570	2018	869	6073
hek_unique:TSS52565_-_172967408.23-P2	8252	8755	1440	15585
hek_unique:TSS52565_-_172967613.23-P2	3691	3405	507	4924
hek_unique:TSS52565_-_172967753.23-P1	2223	2131	296	3818
hek_unique:TSS52565_-_172967763.23-P1	3910	3473	709	6249
hek_unique:TSS52565_-_172967767.23-P1	4086	4409	483	7609
hek_unique:TSS52565_-_172967775.23-P1	3918	3694	472	4672
hek_unique:TSS52565_-_172967867.23-P1	7521	6256	1258	11415
hek_unique:TSS52565_-_172967908.23-P1	7803	8167	1132	13447
