	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00226	CUFF.1081.1	0.9818831236904686	0.06696389237184713	10.0	10.0	CUFF.1081.1	0.48616342081940644	0.20400804393679828	10.0	10.0	CUFF.1081.1	0.47328001723579805	0.12867540938128277	10.0	10.0
LH00233	CUFF.1141.1	0.6391972841781159	-0.15746948009861841	10.0	10.0	CUFF.1141.1	0.958441496265714	-0.02688691211510083	10.0	10.0	CUFF.1141.1	0.8288233073971303	-0.17800583472389223	10.0	10.0
LH00237	CUFF.1158.1,CUFF.1158.3	0.17938479035439503	0.1448924678119551	10.0	10.0	CUFF.1158.1,CUFF.1158.3	0.06460038135631928	0.0815822434723095	10.0	10.0	CUFF.1158.1,CUFF.1158.3	0.05821477117721746	0.21631262374910407	10.0	10.0
LH00238	CUFF.1172.1	0.8927610625164359	-0.10188622292111384	10.0	10.0	CUFF.1172.1	0.867158864733542	-0.02414569889731923	10.0	10.0	CUFF.1172.1	0.8680650232928439	-0.03997738005825804	10.0	10.0
LH00241	CUFF.1181.1	0.9667542735410969	0.008639318110981842	10.0	10.0	CUFF.1181.1	0.7251962053645722	-0.023048290845035218	10.0	10.0	CUFF.1181.1	0.9026167631384475	0.047597913827834536	10.0	10.0
LH00242	CUFF.1182.1	0.5150070960126267	-0.10572352158010893	10.0	10.0	CUFF.1182.1	0.38318585016788875	0.07950770498655423	10.0	10.0	CUFF.1182.1	0.9768026692123013	-0.03999979468459528	10.0	10.0
LH00243	P1P2	0.24822837848262758	-0.08539471320433205	10.0	10.0	P1P2	0.043905270997566546	-0.4889016473422445	10.0	10.0	P1P2	0.01938647168088065	-0.27760688700189584	10.0	10.0
LH00244	CUFF.1200.1	0.07762770248672363	-0.3373777263647229	10.0	10.0	CUFF.1200.1	0.5841774512597673	-0.09022108588721843	10.0	10.0	CUFF.1200.1	0.06602925109234545	-0.19214309886187517	10.0	10.0
LH00245	CUFF.1200.2	0.232573585466471	-0.029673479489669603	10.0	10.0	CUFF.1200.2	0.3404743761487242	-0.11896946371889926	10.0	10.0	CUFF.1200.2	0.7144265449923308	-0.11054707349526204	10.0	10.0
LH00246	CUFF.1196.1	0.14830158413902508	0.3259746357145492	10.0	10.0	CUFF.1196.1	0.3126600038269688	0.03803694352638573	10.0	10.0	CUFF.1196.1	0.1755586224426129	0.23805222743103094	10.0	10.0
