	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS102695_+_3526176.23-P1P2	2096	2091	1613	1640
common:TSS102695_+_3526184.23-P1P2	4426	4478	3443	3271
common:TSS102695_+_3526424.23-P1P2	1627	1526	915	1107
common:TSS102695_-_3526133.23-P1P2	2556	2292	1643	1618
common:TSS102695_-_3526145.23-P1P2	2055	2073	1470	1663
common:TSS102695_-_3526166.23-P1P2	3242	3320	2455	2706
common:TSS102695_-_3526195.23-P1P2	1267	1251	766	1028
common:TSS102695_-_3526322.23-P1P2	1339	1302	846	892
common:TSS102942_+_19375483.23-ENST00000609982	3124	3042	2134	1729
common:TSS102942_+_19375488.23-ENST00000609982	2494	2424	1850	1592
common:TSS102942_+_19375510.23-ENST00000609982	2387	2400	1943	1487
common:TSS102942_+_19375624.23-ENST00000609982	3186	3087	2215	2292
common:TSS102942_+_19375633.23-ENST00000609982	3695	4163	2573	3313
common:TSS102942_+_19375636.23-ENST00000609982	2801	2921	2305	2152
common:TSS102942_+_19375766.23-ENST00000609982	2633	2631	2328	1922
common:TSS102942_-_19375451.23-ENST00000609982	1555	1629	934	1387
common:TSS102942_-_19375479.23-ENST00000609982	5332	5194	3948	3556
common:TSS102942_-_19375856.23-ENST00000609982	4448	4592	2893	3436
common:TSS102943_+_19453345.23-P1P2	4316	4122	3192	2965
common:TSS102943_+_19453381.23-P1P2	1539	1329	1124	1061
common:TSS102943_+_19453492.23-P1P2	2615	2541	2241	1776
common:TSS102943_+_19453508.23-P1P2	2101	2345	1283	1637
common:TSS102943_+_19453557.23-P1P2	3392	3884	2823	2427
common:TSS102943_-_19453298.23-P1P2	5033	4821	4035	3485
common:TSS102943_-_19453354.23-P1P2	1419	1453	1272	1106
common:TSS102943_-_19453618.23-P1P2	2050	2027	1607	1704
common:TSS102943_-_19453658.23-P1P2	4831	5039	3449	3475
common:TSS102943_-_19453705.23-P1P2	4372	4114	2886	3658
common:TSS103107_+_32551687.23-ENST00000450093	3950	3835	2527	3228
common:TSS103107_+_32551700.23-ENST00000450093	1132	995	1109	1275
common:TSS103107_+_32551704.23-ENST00000450093	3202	3127	2731	2306
common:TSS103107_+_32551712.23-ENST00000450093	4507	3941	3272	3276
common:TSS103107_+_32551814.23-ENST00000450093	1813	1802	1587	1508
common:TSS103107_-_32551691.23-ENST00000450093	3809	3429	2669	2526
common:TSS103107_-_32551742.23-ENST00000450093	3896	4161	2576	3044
common:TSS103107_-_32551882.23-ENST00000450093	3330	3355	2324	2270
common:TSS103107_-_32551917.23-ENST00000450093	3782	3916	2889	2890
common:TSS103107_-_32552149.23-ENST00000450093	2496	2495	1919	2273
common:TSS103108_+_32552396.23-P1P2	2705	2352	1847	1512
common:TSS103108_+_32552406.23-P1P2	4375	4544	2960	4459
common:TSS103108_+_32552597.23-P1P2	2391	2382	1619	1854
common:TSS103108_+_32552610.23-P1P2	1146	1172	626	887
common:TSS103108_-_32552314.23-P1P2	1501	1261	1002	1301
common:TSS103108_-_32552317.23-P1P2	2015	2131	2106	1565
common:TSS103108_-_32552342.23-P1P2	1670	1671	1552	1368
common:TSS103108_-_32552349.23-P1P2	1424	1301	1227	994
common:TSS103108_-_32552374.23-P1P2	1244	1375	984	1065
common:TSS103108_-_32552385.23-P1P2	1511	1758	1409	941
common:TSS103169_+_34665573.23-P1P2	2215	2234	1173	1627
common:TSS103169_+_34665586.23-P1P2	7335	7384	4270	4808
common:TSS103169_+_34665781.23-P1P2	5290	5565	3878	4047
