	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00557	CUFF.2890.1	0.6134190079219581	-0.17353272308204845	10.0	10.0	CUFF.2890.1	0.11781739991886157	-0.24005258930544046	10.0	10.0	CUFF.2890.1	0.06051925065832315	-0.2169556080416132	10.0	10.0
LH00559	P1P2	0.05235106880214464	-0.511102006596295	10.0	10.0	P1P2	0.47798680027445706	0.4269045167182414	10.0	10.0	P1P2	0.22229107018038974	-0.04700408140969382	10.0	10.0
LH00561	TUCPT_00000089	0.9585681925609169	-0.14397684185693357	10.0	10.0	TUCPT_00000089	0.030643641775191893	0.7993570129829063	10.0	10.0	TUCPT_00000089	0.10828580882482924	0.4096217752954434	10.0	10.0
LH00562	CUFF.2966.4	0.8148659067071693	0.12455819827014154	10.0	10.0	CUFF.2966.4	0.6572257110302784	-0.07022620166184722	10.0	10.0	CUFF.2966.4	0.7037844134433413	0.10294550545788445	10.0	10.0
LH00563	CUFF.2966.6	0.2970533979049522	0.050677315922841505	10.0	10.0	CUFF.2966.6	0.25469272438742196	0.09054887713925663	10.0	10.0	CUFF.2966.6	0.11751516345709835	0.07150427101759631	10.0	10.0
LH00566	ENST00000602747	0.665072718687846	-0.28871564732671245	10.0	10.0	ENST00000602747	0.10182255168085906	-0.1281174409685045	10.0	10.0	ENST00000602747	0.13504081798135942	-0.2272210566679543	10.0	10.0
LH00567	P1P2	0.5575309584501276	-0.09069301973446753	10.0	10.0	P1P2	0.949112405846581	0.040774906987028514	10.0	10.0	P1P2	0.5615845197618485	-0.02746563371454519	10.0	10.0
LH00570	CUFF.3028.1	0.04966677894002415	0.47269400472176343	10.0	10.0	CUFF.3028.1	0.006611783962987364	0.7655705144500821	10.0	10.0	CUFF.3028.1	0.007014566341425582	0.6317505285827562	10.0	10.0
LH00575	CUFF.3067.1	0.03418175182467622	-0.3769830268349821	10.0	10.0	CUFF.3067.1	0.020952768305507533	0.1264021604369733	10.0	10.0	CUFF.3067.1	0.9250193185198563	-0.16865686415280923	10.0	10.0
LH00580	CUFF.3148.1	0.11163483943891601	-0.14638939059592956	10.0	10.0	CUFF.3148.1	0.48265680789104204	0.20445069481263597	10.0	10.0	CUFF.3148.1	0.7904122059209915	-0.14571583280292444	10.0	10.0
LH00581															
LH00584															
LH00594	P1P2	0.19247982310869238	-0.2867208217816418	10.0	10.0	P1P2	0.17013020538174273	-0.30207708595011695	10.0	10.0	P1P2	0.05573128556377064	-0.3771773230782694	10.0	10.0
LH00600	CUFF.3310.1	0.15452091140348767	-0.09888500561767007	10.0	10.0	CUFF.3310.1	0.04016509216450671	0.15072004191325683	10.0	10.0	CUFF.3310.1	0.4684230247201294	0.03721716453044067	10.0	10.0
LH00601	CUFF.3331.3	0.3532356049997373	-0.0427028914478633	10.0	10.0	CUFF.3331.3	0.09100080706499789	0.4662392669468505	10.0	10.0	CUFF.3331.3	0.033050164220125716	0.23855276663152547	10.0	10.0
LH00602	ENST00000609881	0.10119792066004939	-0.11168588410091358	10.0	10.0	ENST00000609881	0.4696434029067158	0.172196762621217	10.0	10.0	ENST00000609881	0.751264163307286	0.03247977558802999	10.0	10.0
LH00608	P1P2	0.5545001631329735	0.02573161807295445	10.0	10.0	P1P2	0.45501148354324283	0.15436103577717047	10.0	10.0	P1P2	0.3385965576405028	0.1111458676965598	10.0	10.0
