,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
ACP6_+_147142159.23-P1P2,691,1166,968,1235,0.402020015,-0.249462347,0.076278834
ACP6_-_147142348.23-P1P2,297,507,269,307,-0.22715808,-1.056152692,-0.641655386
ACP6_-_147142356.23-P1P2,629,1374,510,1723,-0.386864092,-0.005864903,-0.196364497
ACP6_-_147142393.23-P1P2,974,1104,815,1668,-0.341423035,0.262973516,-0.039224759
ACPP_+_132036268.23-P1P2,1226,1363,1196,1170,-0.120042911,-0.552682633,-0.336362772
ACPP_+_132036293.23-P1P2,921,1073,950,1707,-0.039574964,0.337407382,0.148916209
ACPP_+_132036338.23-P1P2,1034,1085,846,1339,-0.373807939,-0.028944682,-0.201376311
ACPP_+_132036504.23-P1P2,1163,1489,1485,2646,0.268310513,0.497063707,0.38268711
ACPP_+_132036703.23-P1P2,1027,1475,1050,1819,-0.052348175,-0.029975012,-0.041161594
ACPT_+_51293697.23-ENST00000270593.1,851,947,1399,2054,0.632863604,0.784594251,0.708728927
ACPT_+_51293761.23-ENST00000270593.1,1081,1294,389,1524,-1.558825784,-0.096380315,-0.82760305
ACPT_+_51294074.23-ENST00000270593.1,667,975,529,650,-0.418720361,-0.917368101,-0.668044231
ACPT_-_51293910.23-ENST00000270593.1,653,794,795,1220,0.199570547,0.287264635,0.243417591
ACPT_-_51294122.23-ENST00000270593.1,968,616,284,513,-1.853417439,-0.596377125,-1.224897282
ACSL1_+_185746700.23-P1P2,200,161,125,33,-0.762373227,-2.618928359,-1.690650793
ACSL1_+_185747071.23-P1P2,276,648,432,683,0.562061724,-0.256513835,0.152773944
ACSL1_+_185747074.23-P1P2,429,931,471,479,0.050448091,-1.291161112,-0.620356511
ACSL1_+_185747085.23-P1P2,1228,1631,1696,2400,0.381524288,0.224872024,0.303198156
ACSL1_-_185746686.23-P1P2,234,509,225,447,-0.14088485,-0.519796425,-0.330340638
ACSL3_+_223725692.23-P1P2,851,1210,891,1923,-0.018035022,0.335946115,0.158955547
ACSL3_+_223726215.23-P1P2,726,1745,688,1536,-0.161862305,-0.516454421,-0.339158363
ACSL3_-_223725802.23-P1P2,756,1553,979,1248,0.288621304,-0.647845496,-0.179612096
ACSL3_-_223725834.23-P1P2,716,700,500,493,-0.602332814,-0.838172876,-0.720252845
ACSL3_-_223726162.23-P1P2,727,474,484,162,-0.671249638,-1.881298846,-1.276274242
ACSL4_+_108976382.23-P1P2,225,263,246,321,0.044431993,-0.044895102,-0.000231555
ACSL4_-_108976096.23-P1P2,670,655,442,1326,-0.684416047,0.685108363,0.000346158
ACSL4_-_108976106.23-P1P2,976,632,400,152,-1.371182469,-2.388258835,-1.879720652
ACSL4_-_108976456.23-P1P2,577,1030,499,1093,-0.293832825,-0.246756537,-0.270294681
ACSL4_-_108976463.23-P1P2,819,1086,858,1462,-0.017187126,0.096513608,0.039663241
ACSS2_+_33464457.23-P1P2,511,450,245,895,-1.144842863,0.659557081,-0.242642891
ACSS2_-_33464420.23-P1P2,900,1032,811,1164,-0.234524409,-0.158757513,-0.196640961
ACSS2_-_33464423.23-P1P2,237,292,305,490,0.279620862,0.41440778,0.347014321
ACSS2_-_33464453.23-P1P2,722,1244,770,897,0.008558287,-0.804212195,-0.397826954
ACSS2_-_33464808.23-P1P2,954,1585,1135,1767,0.166329805,-0.175586401,-0.004628298
ACTA1_+_229568301.23-P2,1133,1951,1136,2054,-0.080486348,-0.258183197,-0.169334772
ACTA1_+_229569744.23-P1,1380,1056,1114,859,-0.393220356,-0.630285398,-0.511752877
ACTA1_-_229568328.23-P2,622,878,715,766,0.11672734,-0.529282148,-0.206277404
ACTA1_-_229568723.23-P2,478,598,486,1054,-0.060355626,0.485251877,0.212448126
ACTA1_-_229568745.23-P2,763,1375,703,1422,-0.202459689,-0.283915754,-0.243187722
ACTA1_-_229568779.23-P2,961,1209,942,2302,-0.113110693,0.596667989,0.241778648
ACTA1_-_229569627.23-P1,1127,1231,386,1068,-1.630116084,-0.537324715,-1.0837204
ACTA1_-_229569754.23-P1,739,801,530,890,-0.563883326,-0.180402507,-0.372142917
ACTA1_-_229569824.23-P1,1070,2124,1463,2601,0.367017651,-0.040122967,0.163447342
ACTA1_-_229569839.23-P1,1020,654,901,1830,-0.263271463,1.152075507,0.444402022
ACTR2_+_65455294.23-P1P2,223,85,179,589,-0.401385444,2.460327287,1.029470922
ACTR2_+_65455348.23-P1P2,1011,1124,1233,451,0.202088481,-1.649848297,-0.723879908
ACTR2_-_65454953.23-P1P2,1509,793,1374,559,-0.219512123,-0.836878183,-0.528195153
ACTR2_-_65454971.23-P1P2,1382,728,605,367,-1.27605189,-1.320563988,-1.298307939
ACTR2_-_65455345.23-P1P2,1174,1120,986,451,-0.336074178,-1.644704994,-0.990389586
ACVR1B_+_52345561.23-P1P2,905,1120,1061,2252,0.145133637,0.675302495,0.410218066
ACVR1B_+_52345897.23-P1P2,759,1108,792,1476,-0.022900777,0.08132924,0.029214231
ACVR1B_+_52345907.23-P1P2,951,1283,885,1418,-0.188069207,-0.188069238,-0.188069223
ACVR1B_-_52345530.23-P1P2,999,1505,844,1901,-0.327543001,0.004589445,-0.161476778
ACVR1B_-_52345917.23-P1P2,519,908,869,1932,0.659320317,0.756925291,0.708122804
ACVR1C_+_158484889.23-P1P2,1276,2647,1493,3264,0.142284515,-0.030122738,0.056080889
ACVR1C_+_158484901.23-P1P2,515,1006,529,1463,-0.045606031,0.207893864,0.081143916
ACVR1C_+_158484938.23-P1P2,1118,1386,2043,1152,0.785467694,-0.599192141,0.093137777
ACVR1C_+_158485339.23-P1P2,1236,2789,1114,2088,-0.234230832,-0.750031823,-0.492131327
ACVR1C_-_158485307.23-P1P2,1401,2032,1230,2074,-0.272099962,-0.302890108,-0.287495035
ACVR1_+_158732079.23-P1P2,689,578,616,645,-0.245874954,-0.174175932,-0.210025443
ACVR1_+_158732198.23-P1P2,453,758,780,1052,0.699661752,0.140459351,0.420060552
ACVR1_+_158732232.23-P1P2,1559,1823,1830,713,0.146921399,-1.68674618,-0.76991239
ACVR1_+_158732258.23-P1P2,863,543,551,1291,-0.731609562,0.917059297,0.092724868
ACVR1_-_158732511.23-P1P2,715,1707,958,931,0.337781093,-1.207015586,-0.434617247
ACVR2A_+_148602294.23-P1P2,720,913,626,1548,-0.286135571,0.429313106,0.071588767
ACVR2A_+_148602343.23-P1P2,557,606,438,1169,-0.431047779,0.615479631,0.092215926
ACVR2A_+_148602346.23-P1P2,567,628,346,1328,-0.796878019,0.748013082,-0.024432468
ACVR2A_-_148602102.23-P1P2,1087,1650,1148,1891,-0.00553062,-0.135722261,-0.070626441
ACVR2A_-_148602669.23-P1P2,1135,1602,1380,2201,0.197674648,0.125879397,0.161777023
ACVR2B_+_38495339.23-P1P2,800,921,1151,1978,0.440514607,0.770363764,0.605439186
ACVR2B_+_38495450.23-P1P2,388,243,362,537,-0.184368277,0.811560174,0.313595949
ACVR2B_+_38495606.23-P1P2,539,878,520,1190,-0.136074971,0.106263128,-0.014905921
